,Sl No,Cast Number,Posting Date,Stack No,Grade,Wt(MT),Pcs,%SI,%FE,%TI,%V,%CU,%MN,OTHIMP,%AL
,138,558625,18.11.2024,,W000,37.2,,0.11,0.16,0.001,0.002,0.001,0.004,0.02,99.702
,139,558629,18.11.2024,,W000,34.678,,0.11,0.16,0.002,0.007,0.001,0.005,0.02,99.695
,140,558633,19.11.2024,,W000,36.449,,0.11,0.16,0.001,0.002,0.001,0.004,0.02,99.702
,141,558637,20.11.2024,,W000,12.389,,0.12,0.18,0.001,0.002,0.001,0.004,0.02,99.672
,142,558641,20.11.2024,,W000,34.286,,0.12,0.18,0.001,0.002,0.001,0.004,0.02,99.672
,143,558645,21.11.2024,,W000,16.484,,0.11,0.18,0.001,0.003,0.001,0.004,0.02,99.681
,144,558649,21.11.2024,,W000,25.98,,0.12,0.18,0.001,0.003,0.001,0.005,0.02,99.67
,145,558653,21.11.2024,,W000,18.558,,0.1,0.19,0.001,0.002,0.001,0.004,0.02,99.682
,146,558657,22.11.2024,,W000,28.874,,0.11,0.19,0.001,0.002,0.001,0.004,0.02,99.672
,147,558661,23.11.2024,,W000,14.454,,0.11,0.18,0.001,0.002,0.001,0.004,0.02,99.682
,148,558665,23.11.2024,,W000,34.898,,0.12,0.21,0.002,0.004,0.001,0.005,0.02,99.638
,149,558669,23.11.2024,,W000,22.615,,0.12,0.19,0.002,0.005,0.001,0.004,0.02,99.658
,150,558673,24.11.2024,,W000,35.032,,0.11,0.15,0.001,0.003,0.001,0.004,0.02,99.711
,151,558677,24.11.2024,,W000,18.633,,0.12,0.17,0.002,0.007,0.001,0.004,0.02,99.676
,152,658095,01.09.2024,,W000,16.45,,0.06,0.22,0.001,0.002,0.001,0.004,0.02,99.692
,153,658099,01.09.2024,,W000,36.676,,0.06,0.17,0.001,0.002,0.001,0.004,0.02,99.742
,154,658103,02.09.2024,,W000,32.748,,0.06,0.2,0.002,0.002,0.001,0.004,0.02,99.711
,155,658107,02.09.2024,,W000,28.284,,0.06,0.16,0.002,0.003,0.001,0.004,0.02,99.75
,156,658111,02.09.2024,,W000,10.93,,0.06,0.2,0.002,0.003,0.001,0.004,0.02,99.71
,157,658115,03.09.2024,,W000,32.405,,0.06,0.2,0.001,0.002,0.001,0.004,0.02,99.712
,158,658119,03.09.2024,,W000,28.057,,0.06,0.2,0.001,0.003,0.001,0.004,0.02,99.711
,159,658123,04.09.2024,,W000,31.027,,0.06,0.17,0.004,0.013,0.001,0.002,0.02,99.73
,160,658127,04.09.2024,,W000,35.177,,0.06,0.19,0.001,0.002,0.001,0.004,0.02,99.722
,161,658131,05.09.2024,,W000,38.24,,0.06,0.18,0.002,0.003,0.001,0.004,0.02,99.73
,162,658135,05.09.2024,,W000,29.937,,0.06,0.16,0.001,0.001,0.001,0.004,0.02,99.753
,163,658139,06.09.2024,,W000,24.127,,0.07,0.31,0.001,0.002,0.001,0.004,0.02,99.592
,164,658143,06.09.2024,,W000,29.977,,0.06,0.26,0.001,0.001,0.001,0.004,0.02,99.653
,165,658147,07.09.2024,,W000,24.244,,0.07,0.18,0.001,0.002,0.001,0.004,0.02,99.722
,166,658151,07.09.2024,,W000,32.542,,0.06,0.23,0.002,0.003,0.001,0.004,0.02,99.68
,167,658155,07.09.2024,,W000,16.281,,0.06,0.2,0.001,0.004,0.001,0.004,0.02,99.71
,168,658159,08.09.2024,,W000,32.371,,0.06,0.2,0.001,0.004,0.001,0.004,0.02,99.71
,169,658163,08.09.2024,,W000,2.138,,0.06,0.2,0.001,0.002,0.001,0.004,0.02,99.712
,170,658167,09.09.2024,,W000,28.382,,0.07,0.19,0.001,0.003,0.001,0.004,0.02,99.711
,171,658171,11.09.2024,,W000,4.077,,0.06,0.2,0.001,0.001,0.001,0.004,0.02,99.713
,172,658175,11.09.2024,,W000,22.486,,0.06,0.2,0.001,0.002,0.001,0.004,0.02,99.712
,173,658179,11.09.2024,,W000,16.257,,0.07,0.18,0.002,0.009,0.001,0.004,0.02,99.714
,174,658183,11.09.2024,,W000,26.397,,0.07,0.22,0.004,0.014,0.001,0.004,0.02,99.667
,175,658187,12.09.2024,,W000,8.187,,0.06,0.18,0.004,0.014,0.001,0.004,0.02,99.717
,176,658191,12.09.2024,,W000,30.175,,0.07,0.21,0.004,0.015,0.001,0.004,0.02,99.676
,177,658197,13.09.2024,,W000,32.723,,0.08,0.19,0.001,0.005,0.001,0.004,0.02,99.699
,178,658201,13.09.2024,,W000,24.389,,0.07,0.19,0.003,0.006,0.001,0.004,0.02,99.706
,179,658207,15.09.2024,,W000,30.098,,0.07,0.18,0.001,0.003,0.001,0.004,0.02,99.721
,180,658211,15.09.2024,,W000,32.494,,0.07,0.19,0.002,0.007,0.001,0.004,0.02,99.706
,181,658215,16.09.2024,,W000,32.724,,0.08,0.2,0.001,0.002,0.001,0.004,0.02,99.692
,182,658219,16.09.2024,,W000,18.368,,0.08,0.22,0.001,0.002,0.001,0.004,0.02,99.672
,183,658223,17.09.2024,,W000,14.342,,0.08,0.22,0.001,0.002,0.001,0.004,0.02,99.672
,184,658227,17.09.2024,,W000,24.459,,0.07,0.17,0.001,0.002,0.001,0.004,0.02,99.732
,185,658231,17.09.2024,,W000,22.559,,0.08,0.18,0.002,0.005,0.001,0.004,0.02,99.708
,186,658235,18.09.2024,,W000,26.584,,0.08,0.19,0.001,0.003,0.001,0.004,0.02,99.701
,187,658239,18.09.2024,,W000,26.383,,0.08,0.21,0.001,0.002,0.001,0.004,0.02,99.682
,188,658243,19.09.2024,,W000,31.666,,0.08,0.18,0.002,0.007,0.001,0.004,0.02,99.706
,189,658247,20.09.2024,,W000,12.311,,0.07,0.19,0.002,0.007,0.001,0.004,0.02,99.706
,190,658251,20.09.2024,,W000,30.7,,0.08,0.15,0.001,0.002,0.001,0.004,0.02,99.742
,191,658255,20.09.2024,,W000,26.353,,0.07,0.18,0.002,0.003,0.001,0.004,0.02,99.72
,192,658259,21.09.2024,,W000,30.109,,0.08,0.16,0.001,0.002,0.001,0.004,0.02,99.732
,193,658265,22.09.2024,,W000,24.555,,0.08,0.21,0.001,0.004,0.001,0.004,0.02,99.68
,194,658269,23.09.2024,,W000,26.455,,0.08,0.19,0.001,0.002,0.001,0.004,0.02,99.702
,195,658273,23.09.2024,,W000,18.249,,0.08,0.19,0.001,0.002,0.001,0.004,0.02,99.702
,196,658277,24.09.2024,,W000,18.236,,0.08,0.17,0.001,0.002,0.001,0.004,0.02,99.722
,197,658281,24.09.2024,,W000,13.2,,0.08,0.19,0.001,0.002,0.001,0.004,0.02,99.702
,198,658285,26.09.2024,,W000,31.202,,0.09,0.18,0.001,0.002,0.001,0.004,0.02,99.702
,199,658289,26.09.2024,,W000,6.064,,0.08,0.19,0.001,0.002,0.001,0.004,0.02,99.702
,200,658293,27.09.2024,,W000,27.736,,0.08,0.17,0.003,0.005,0.001,0.004,0.02,99.717
,201,658297,27.09.2024,,W000,16.162,,0.08,0.19,0.002,0.002,0.001,0.004,0.02,99.701
,202,658301,28.09.2024,,W000,30.728,,0.08,0.17,0.003,0.01,0.001,0.004,0.02,99.712
,203,658305,28.09.2024,,W000,19.584,,0.08,0.2,0.001,0.002,0.001,0.004,0.02,99.692
,204,658309,29.09.2024,,W000,23.865,,0.08,0.17,0.001,0.001,0.001,0.004,0.02,99.723
,205,658313,30.09.2024,,W000,28.751,,0.08,0.19,0.001,0.002,0.001,0.004,0.02,99.702
,206,658317,30.09.2024,,W000,28.888,,0.09,0.18,0.001,0.002,0.001,0.004,0.02,99.702
,207,658321,01.10.2024,,W000,32.819,,0.08,0.18,0.001,0.003,0.001,0.004,0.02,99.711
,208,658341,08.10.2024,,W000,20.898,,0.08,0.19,0.002,0.005,0.001,0.004,0.02,99.698
,209,658345,08.10.2024,,W000,30.664,,0.08,0.19,0.001,0.002,0.001,0.004,0.02,99.702
,210,658349,09.10.2024,,W000,31.001,,0.08,0.19,0.001,0.002,0.001,0.004,0.02,99.702
,211,658353,09.10.2024,,W000,33.193,,0.09,0.23,0.001,0.002,0.001,0.004,0.02,99.652
,212,658357,10.10.2024,,W000,20.211,,0.08,0.21,0.001,0.001,0.001,0.004,0.02,99.683
,213,658361,11.10.2024,,W000,12.173,,0.08,0.23,0.001,0.001,0.001,0.004,0.02,99.663
,214,658365,11.10.2024,,W000,32.55,,0.08,0.21,0.001,0.002,0.001,0.004,0.02,99.682
,215,658369,11.10.2024,,W000,33.848,,0.08,0.2,0.001,0.002,0.001,0.004,0.02,99.692
,216,658373,12.10.2024,,W000,36.433,,0.07,0.17,0.001,0.002,0.001,0.004,0.02,99.732
,217,658377,12.10.2024,,W000,20.466,,0.07,0.2,0.001,0.002,0.001,0.004,0.02,99.702
,218,658381,13.10.2024,,W000,30.674,,0.07,0.2,0.001,0.002,0.001,0.004,0.02,99.702
,219,658383,13.10.2024,,W000,35.384,,0.07,0.2,0.001,0.002,0.001,0.004,0.02,99.702
,220,658387,14.10.2024,,W000,28.212,,0.07,0.18,0.001,0.001,0.001,0.004,0.02,99.723
,221,658391,14.10.2024,,W000,34.419,,0.08,0.24,0.001,0.003,0.001,0.004,0.02,99.651
,222,658395,16.10.2024,,W000,28.65,,0.07,0.17,0.001,0.002,0.001,0.004,0.02,99.732
,223,658399,16.10.2024,,W000,24.617,,0.07,0.18,0.001,0.001,0.001,0.004,0.02,99.723
,224,658403,17.10.2024,,W000,13.147,,0.07,0.18,0.001,0.002,0.001,0.004,0.02,99.722
,225,658407,17.10.2024,,W000,26.811,,0.07,0.16,0.001,0.002,0.001,0.004,0.02,99.742
,226,658411,18.10.2024,,W000,24.222,,0.07,0.17,0.001,0.002,0.001,0.004,0.02,99.732
,227,658415,19.10.2024,,W000,20.436,,0.07,0.17,0.001,0.002,0.001,0.004,0.02,99.732
,228,658419,19.10.2024,,W000,34.596,,0.07,0.18,0.001,0.002,0.001,0.004,0.02,99.722
,229,658423,20.10.2024,,W000,16.44,,0.08,0.19,0.002,0.003,0.001,0.004,0.02,99.7
,230,658427,20.10.2024,,W000,22.544,,0.07,0.16,0.001,0.003,0.001,0.004,0.02,99.741
,231,658431,21.10.2024,,W000,20.444,,0.07,0.19,0.001,0.004,0.001,0.004,0.02,99.71
,232,658435,21.10.2024,,W000,30.722,,0.08,0.2,0.001,0.002,0.001,0.004,0.02,99.692
,233,658439,22.10.2024,,W000,23.624,,0.08,0.19,0.001,0.002,0.001,0.004,0.02,99.702
,234,658443,22.10.2024,,W000,19.186,,0.07,0.18,0.001,0.002,0.001,0.003,0.02,99.723
,235,658445,22.10.2024,,W000,16.341,,0.07,0.19,0.001,0.002,0.001,0.004,0.02,99.712
,236,658449,23.10.2024,,W000,24.577,,0.08,0.19,0.001,0.001,0.001,0.004,0.02,99.703
,237,658453,23.10.2024,,W000,32.829,,0.08,0.2,0.001,0.002,0.001,0.004,0.02,99.692
,238,658457,23.10.2024,,W000,13.782,,0.07,0.17,0.002,0.005,0.001,0.004,0.02,99.728
,239,658461,24.10.2024,,W000,30.787,,0.08,0.19,0.002,0.003,0.001,0.004,0.02,99.7
,240,658465,24.10.2024,,W000,8.237,,0.07,0.16,0.002,0.007,0.001,0.004,0.02,99.736
,241,658469,25.10.2024,,W000,24.591,,0.08,0.17,0.001,0.002,0.001,0.004,0.02,99.722
,242,658473,25.10.2024,,W000,16.456,,0.08,0.18,0.001,0.001,0.001,0.004,0.02,99.713
,243,658477,26.10.2024,,W000,14.442,,0.08,0.16,0.004,0.006,0.001,0.004,0.02,99.725
,244,658479,27.10.2024,,W000,35.263,,0.08,0.18,0.001,0.003,0.001,0.004,0.02,99.711
,245,658483,27.10.2024,,W000,28.111,,0.08,0.19,0.001,0.002,0.001,0.004,0.02,99.702
,246,658487,28.10.2024,,W000,35.026,,0.08,0.17,0.001,0.002,0.001,0.004,0.02,99.722
,247,658491,28.10.2024,,W000,29.69,,0.09,0.16,0.001,0.002,0.001,0.004,0.02,99.722
,248,658495,29.10.2024,,W000,23.536,,0.09,0.16,0.001,0.002,0.001,0.004,0.02,99.722
,249,658499,30.10.2024,,W000,18.703,,0.1,0.19,0.001,0.001,0.001,0.004,0.02,99.683
,250,658503,30.10.2024,,W000,30.138,,0.09,0.18,0.002,0.004,0.001,0.004,0.02,99.699
,251,658507,31.10.2024,,W000,33.357,,0.09,0.2,0.001,0.003,0.001,0.004,0.02,99.681
,252,658511,31.10.2024,,W000,36.374,,0.1,0.18,0.002,0.008,0.001,0.004,0.02,99.685
,253,658515,01.11.2024,,W000,39.031,,0.09,0.18,0.001,0.002,0.001,0.004,0.02,99.702
,254,658519,02.11.2024,,W000,26.055,,0.07,0.13,0.001,0.006,0.001,0.004,0.02,99.768
,255,658523,02.11.2024,,W000,35.245,,0.1,0.19,0.001,0.002,0.001,0.004,0.02,99.682
,256,658527,03.11.2024,,W000,27.729,,0.11,0.19,0.001,0.002,0.001,0.004,0.02,99.672
,257,658531,03.11.2024,,W000,35.513,,0.1,0.17,0.002,0.005,0.001,0.004,0.02,99.698
,258,658535,04.11.2024,,W000,24.428,,0.1,0.17,0.002,0.004,0.001,0.004,0.02,99.699
,259,658539,04.11.2024,,W000,32.648,,0.12,0.19,0.001,0.005,0.001,0.004,0.02,99.659
,260,658547,07.11.2024,,W000,18.644,,0.11,0.18,0.001,0.003,0.001,0.004,0.02,99.681
,261,658551,07.11.2024,,W000,31.148,,0.11,0.18,0.001,0.002,0.001,0.004,0.02,99.682
,262,658555,08.11.2024,,W000,18.535,,0.1,0.15,0.001,0.003,0.001,0.004,0.02,99.721
,263,658559,08.11.2024,,W000,43.586,,0.12,0.17,0.003,0.008,0.001,0.004,0.02,99.674
,264,658563,09.11.2024,,W000,25.564,,0.12,0.18,0.001,0.004,0.001,0.004,0.02,99.67
,265,658567,09.11.2024,,W000,20.854,,0.11,0.18,0.002,0.003,0.001,0.004,0.02,99.68
,266,658571,10.11.2024,,W000,37.604,,0.12,0.19,0.001,0.002,0.001,0.005,0.02,99.661
,267,658575,11.11.2024,,W000,27.98,,0.12,0.18,0.002,0.004,0.001,0.004,0.02,99.669
,268,658579,11.11.2024,,W000,33.189,,0.12,0.17,0.001,0.004,0.001,0.004,0.02,99.68
,269,658583,12.11.2024,,W000,34.823,,0.12,0.18,0.001,0.005,0.001,0.004,0.02,99.669
,270,658587,12.11.2024,,W000,30.756,,0.11,0.18,0.002,0.007,0.001,0.004,0.02,99.676
,271,658591,13.11.2024,,W000,40.335,,0.12,0.17,0.003,0.008,0.001,0.005,0.02,99.673
,272,658595,13.11.2024,,W000,28.29,,0.13,0.17,0.001,0.002,0.001,0.004,0.02,99.672
,273,658599,14.11.2024,,W000,34.938,,0.13,0.19,0.001,0.001,0.001,0.005,0.02,99.652
,274,658603,14.11.2024,,W000,31.058,,0.11,0.16,0.002,0.003,0.001,0.004,0.02,99.7
,275,658607,15.11.2024,,W000,32.877,,0.12,0.17,0.002,0.007,0.001,0.005,0.02,99.675
,276,658611,15.11.2024,,W000,26.816,,0.11,0.16,0.001,0.002,0.001,0.004,0.02,99.702
,277,658615,16.11.2024,,W000,22.657,,0.12,0.18,0.002,0.005,0.001,0.004,0.02,99.668
,278,658619,17.11.2024,,W000,30.76,,0.11,0.14,0.001,0.003,0.001,0.004,0.02,99.721
,279,658623,18.11.2024,,W000,9.295,,0.12,0.17,0.001,0.002,0.001,0.004,0.02,99.682
,280,658627,18.11.2024,,W000,12.196,,0.12,0.17,0.001,0.002,0.001,0.005,0.02,99.681
,281,658631,18.11.2024,,W000,10.302,,0.12,0.18,0.002,0.008,0.001,0.004,0.02,99.665
,282,658635,19.11.2024,,W000,35.045,,0.11,0.18,0.001,0.003,0.001,0.004,0.02,99.681
,283,658639,20.11.2024,,W000,33.102,,0.11,0.17,0.001,0.002,0.001,0.004,0.02,99.692
,284,658643,20.11.2024,,W000,30.978,,0.11,0.18,0.002,0.005,0.001,0.004,0.02,99.678
,285,658647,21.11.2024,,W000,30.398,,0.11,0.16,0.001,0.002,0.001,0.004,0.02,99.702
,286,658651,21.11.2024,,W000,30.886,,0.12,0.19,0.001,0.002,0.001,0.005,0.02,99.661
,287,658655,22.11.2024,,W000,31.406,,0.1,0.16,0.001,0.002,0.001,0.004,0.02,99.712
,288,658659,22.11.2024,,W000,33.018,,0.1,0.19,0.001,0.002,0.001,0.004,0.02,99.682
,289,658663,23.11.2024,,W000,39.11,,0.11,0.2,0.001,0.002,0.001,0.004,0.02,99.662
,290,658667,23.11.2024,,W000,32.943,,0.11,0.19,0.001,0.002,0.001,0.005,0.02,99.671
,291,658671,24.11.2024,,W000,34.981,,0.13,0.18,0.001,0.002,0.001,0.004,0.02,99.662
,292,658675,24.11.2024,,W000,30.819,,0.11,0.15,0.001,0.003,0.001,0.004,0.02,99.711
,293,758114,01.09.2024,,W000,33.102,,0.05,0.19,0.001,0.002,0.001,0.004,0.02,99.732
,294,758118,01.09.2024,,W000,24.09,,0.06,0.19,0.001,0.002,0.001,0.004,0.02,99.722
,295,758122,02.09.2024,,W000,35.244,,0.06,0.18,0.001,0.001,0.001,0.003,0.02,99.734
,296,758126,02.09.2024,,W000,29.028,,0.06,0.15,0.002,0.003,0.001,0.004,0.02,99.76
,297,758130,02.09.2024,,W000,10.405,,0.06,0.17,0.002,0.004,0.001,0.003,0.02,99.74
